feature,weight
ability,0.059988678221829045
able,0.10487273086104057
absolutely,0.3255917943016771
absolutely amazing,0.32455131709250906
accept,-0.274830317465297
access,-0.18222908854613024
accused,-0.05402227345808022
achievement,-0.05667913982212617
act,-0.12215775446444534
acted,0.2369433809242603
acting,0.20837337292534686
acting bad,-0.16001602562635067
action,-0.0477279275509511
action movie,-0.17160988258643287
actor,-0.05282698423990735
actor give,0.13077233534760094
actress,0.2185148928673484
actually,0.7713055119614138
added,0.37548288637458693
addition,-0.030142545797184797
additional,-0.03106130248677964
adorable,0.786017723010722
advise,0.6118117100955303
aerial,0.2188281073815733
aerial scene,0.14736727563324414
afraid,0.47289592440584755
afternoon,-0.1102295112366586
age,0.21528893912694466
ago,0.23236969140397093
air,0.14488549437862486
allowing,0.05310369597351866
almost,-0.14002739130645114
alone,-0.13474243324233454
along,0.03928152215616505
already,0.3069274327611055
also,0.5669502833263995
also great,0.2115938941253242
also make,0.3808093418579976
also phone,-0.24026787577600145
also take,-0.02473187379103156
although,-0.3377187373075546
always,0.8505867386919644
always good,0.22940330236468853
always great,0.18990173070156108
always hit,0.24133762356127267
amazed,0.3671461521526914
amazing,1.9958082674863435
amazon,0.03150755543953173
ambiance,0.11130730524406947
ambience,0.3499824855918213
america,-0.0604954674567728
american,-0.07014256748489493
amount,0.2563220511026571
ample,0.281374675507988
angeles,-0.26395314356070054
angle,0.1659679985145346
angry,-0.18606042801063344
annoying,-0.7082857508942111
another,-0.43861945875494923
another minute,-0.262733646009464
answer,0.027913831640624928
anyone,-0.3244723672439925
anyone could,-0.12563054763439954
anything,-0.529228477205156
anytime,-0.4008545950868992
anytime soon,-0.4008545950868992
anyway,0.09730686368508616
apart,0.13710646387713138
appalling,-0.6311999320403306
appealing,-0.4701224499314196
appearance,0.4210079071325574
appears,0.3537735305965431
appetizer,0.32936711870012086
appreciate,0.1845255754665705
appreciate subtle,0.09264453464064594
area,0.2781613589901599
around,0.15056957683711877
around like,-0.17905848507285357
array,0.3618863637675273
arrived,-0.3801936907128109
art,0.6320665973418887
art movie,0.19329469474318398
as,-0.17653910442887968
aside,-0.3136749990790367
ask,0.7931920898227749
asked,-0.6226137419446721
asleep,-0.06835665382780541
aspect,-0.02707031681445861
assure,0.8205248909818199
ate,-0.28619772853659226
atmosphere,0.37279034257820737
atmosphere fun,0.31541882506528396
atrocious,-0.044854279316080416
attack,-0.28089337746578524
attempt,-0.03187551530500375
attention,0.025958200896118052
attentive,0.6140172515033482
attitude,-0.28714809750879566
audience,0.12943840213681873
audio,-0.05955205478072014
audio quality,0.04214576851320065
authentic,0.36036782846361826
auto,-0.030052708079447807
average,-0.9557599008264654
avoid,-1.02563728739521
avoid cost,-0.3049039040290445
avoid place,-0.25128451364207033
award,0.005670485406573141
away,-0.4069087433086961
awesome,1.7746564292352454
awful,-1.6697311911370767
awkwardly,-0.19500092661122706
baby,0.22251703998958622
back,-0.6160569139487265
back anytime,-0.17677394530489385
back every,0.34887459127163983
back place,-0.16103996755679448
background,0.22185051573309594
bacon,0.4409177558919667
bad,-3.171514729732997
bad acting,-0.08496566843674903
bad bad,-0.03006275286360245
bad even,-0.10435670210083374
bad film,-0.28518362873460695
bad food,-0.260711932926673
bad idea,-0.12124214820207024
bad movie,-0.2321792636845967
bad review,-0.14233297431903472
bad script,-0.08852308010028387
bad well,0.2149608039034666
bagel,-0.1651503081350328
bakery,-0.09656641391209779
balanced,-0.1058956097629637
ball,-0.19509543027792156
bar,0.19727573783827834
barely,-0.507633667340056
bargain,0.30558744002808413
basically,-0.4703413659136935
bathroom,-0.2811019794056353
battery,-0.11607525521693493
battery life,-0.11134027262596363
battery work,0.15793161997064428
bay,-0.07142740626361518
bean,0.13432629374208757
bear,0.015745316165108533
beat,0.49140094560965386
beautiful,1.195403934915871
beautifully,0.3670410527341716
become,0.5486152667120532
beef,-0.08986924847500317
beer,0.4949719855685912
beer selection,0.14172034766668962
began,0.015025492813242442
begin,-0.16779386555740042
beginning,0.4738758234049858
behind,0.004493843302174707
believable,0.33766361681068274
believe,-0.48579494181502225
bell,-0.2345592592461569
belly,0.16846003665519335
belt,0.09803044839525205
best,2.085606278174685
best bluetooth,0.21292841848614807
best movie,0.14603760915012204
best part,0.15683958631412728
best phone,0.4504301287351595
best place,0.2978912428888274
best scene,0.16219202682044617
better,0.2871182819353227
betty,0.06840190853684654
beware,-0.3179550900908954
beyond,-0.23528721247850765
big,-0.29788170627894217
biggest,-0.0801458223259621
bill,-0.07511919467661343
billy,0.04050646588614417
biscuit,0.1469309950643484
bit,-0.8805395311445118
bit disappointed,0.10380685370736152
bit predictable,-0.17369720544447245
bite,0.1534930609267998
black,0.2766477381248249
black white,0.13825042049560698
blah,-0.579645967409312
bland,-1.2848385336052617
blood,0.26719327046477354
blown,-0.15188283575984007
