feature,log_prob_class_0,log_prob_class_1
ability,-7.8660664668384115,-7.756479357603142
able,-8.024578064363995,-7.899066578017752
absolutely,-7.449360214670055,-7.028073049090848
absolutely amazing,-8.435477188403329,-7.605386589540378
accept,-7.73150290458561,-8.469849417430472
access,-8.022122122809158,-8.152556622968346
accused,-8.072008395360607,-8.203010055330438
achievement,-8.034240113504767,-8.42555111936428
act,-8.132741341706883,-8.42555111936428
acted,-8.405169086305571,-7.8383244208131035
acting,-6.7705092719457305,-6.808212538603497
acting bad,-7.862370577503215,-8.469849417430472
action,-7.736445264714739,-8.069721702082854
action movie,-7.9534638553282555,-8.469849417430472
actor,-7.157231888837845,-7.091022713403243
actor give,-8.435477188403329,-8.02776688687479
actress,-8.405169086305571,-7.885186282428997
actually,-7.789894674488154,-6.902037046988584
added,-8.435477188403329,-7.730750800469761
addition,-8.072246029107243,-8.117931537071389
additional,-8.04050488794635,-8.157314362419028
adorable,-8.435477188403329,-7.311294316929721
advise,-8.435477188403329,-7.6064826351175805
aerial,-8.405169086305571,-7.951260339367821
aerial scene,-8.403994820758887,-8.0802091322048
afraid,-8.435477188403329,-7.734304388512341
afternoon,-7.947970057534184,-7.9539904712437215
age,-8.176899763923284,-7.817693248153483
ago,-7.858074285824137,-7.469094788786616
air,-8.172552857165012,-8.13193428155197
allowing,-8.117580783604078,-8.12674539068446
almost,-7.36246770065915,-7.682786777717849
alone,-7.768852419370174,-8.09839554459427
along,-7.79250420480927,-7.905127636726202
already,-8.435477188403329,-7.946052386409811
also,-6.464569172126402,-5.999985613294689
also great,-8.435477188403329,-7.72674296117425
also make,-8.435477188403329,-7.794508663299652
also phone,-7.9057431419605795,-8.469849417430472
also take,-8.092046407430432,-8.129177421517456
although,-7.524126289462941,-8.147155775016495
always,-7.421360975410506,-6.60204179803285
always good,-8.435477188403329,-7.769664629694617
always great,-8.435477188403329,-7.692923616220794
always hit,-8.435477188403329,-7.842930642013841
amazed,-8.435477188403329,-7.6528473684970955
amazing,-7.9219960865836425,-6.128645590563572
amazon,-7.376212880515444,-7.3905588662247474
ambiance,-7.790980857462589,-7.343097429868043
ambience,-8.435477188403329,-7.672657953492313
america,-8.009853151082595,-8.116553596874619
american,-7.714641663074861,-8.10424502507158
amount,-8.127879093551645,-7.737360359148515
ample,-8.435477188403329,-7.816556422029875
angeles,-7.695109046734593,-8.469849417430472
angle,-8.082092763933435,-7.8421835218090745
angry,-8.005073521331468,-8.469849417430472
annoying,-7.185331136467598,-8.469849417430472
another,-7.057105759138544,-7.61788823467584
another minute,-7.67735962660202,-8.469849417430472
answer,-8.043709932152185,-8.10551459140343
anyone,-7.022882173697712,-7.417969195405403
anyone could,-7.91542322717091,-8.37429434272154
anything,-7.290331708688791,-8.43116113253447
anytime,-7.472809070083135,-8.469849417430472
anytime soon,-7.472809070083135,-8.469849417430472
anyway,-7.796874271179283,-7.791164716232802
apart,-8.165511804264392,-7.986668052124777
